Date,error_bull,error_bear,min_error,argmin_regime,gap
2011-09-15,0.008001155,0.0063058767,0.0063058767,bear,0.0016952786
2011-09-16,0.007912239,0.006143144,0.006143144,bear,0.0017690952
2011-09-19,0.00800319,0.005955841,0.005955841,bear,0.0020473492
2011-09-20,0.008196004,0.0059212386,0.0059212386,bear,0.0022747652
2011-09-21,0.008703982,0.005615959,0.005615959,bear,0.0030880235
2011-09-22,0.009180969,0.006309248,0.006309248,bear,0.0028717206
2011-09-23,0.009566252,0.0062890006,0.0062890006,bear,0.0032772515
2011-09-26,0.009834763,0.006368493,0.006368493,bear,0.0034662695
2011-09-27,0.010087672,0.006390506,0.006390506,bear,0.0036971658
2011-09-28,0.010679735,0.0062754084,0.0062754084,bear,0.0044043264
2011-09-29,0.010533731,0.0063506095,0.0063506095,bear,0.004183122
2011-09-30,0.010570679,0.0063851634,0.0063851634,bear,0.0041855155
2011-10-03,0.010829648,0.0066221533,0.0066221533,bear,0.0042074947
2011-10-04,0.010109008,0.0059884423,0.0059884423,bear,0.004120566
2011-10-05,0.009813377,0.005472396,0.005472396,bear,0.0043409807
2011-10-06,0.009226001,0.005367565,0.005367565,bear,0.003858436
2011-10-07,0.00877682,0.0054446384,0.0054446384,bear,0.0033321818
2011-10-10,0.0083486205,0.0051814294,0.0051814294,bear,0.003167191
2011-10-11,0.008330227,0.00514477,0.00514477,bear,0.003185457
2011-10-12,0.00823293,0.00507742,0.00507742,bear,0.00315551
2011-10-13,0.007948166,0.0051968857,0.0051968857,bear,0.00275128
2011-10-14,0.0072677275,0.0049001337,0.0049001337,bear,0.0023675938
2011-10-17,0.0068448586,0.004870789,0.004870789,bear,0.0019740695
2011-10-18,0.00651597,0.0047855647,0.0047855647,bear,0.0017304053
2011-10-19,0.0059639695,0.0047368533,0.0047368533,bear,0.0012271162
2011-10-20,0.0058605177,0.004561662,0.004561662,bear,0.0012988555
2011-10-21,0.0055349716,0.004590859,0.004590859,bear,0.0009441124
2011-10-24,0.005128374,0.0044749575,0.0044749575,bear,0.0006534164
2011-10-25,0.0050118165,0.004578208,0.004578208,bear,0.00043360842
2011-10-26,0.0050632725,0.0043829503,0.0043829503,bear,0.0006803223
2011-10-27,0.0052022343,0.0044557876,0.0044557876,bear,0.00074644666
2011-10-28,0.0047762343,0.004575147,0.004575147,bear,0.00020108745
2011-10-31,0.004709182,0.0045928303,0.0045928303,bear,0.000116351526
2011-11-01,0.0048287865,0.00473082,0.00473082,bear,9.796629e-05
2011-11-02,0.0046525085,0.004613451,0.004613451,bear,3.905734e-05
2011-11-03,0.0046964795,0.0044990904,0.0044990904,bear,0.00019738916
2011-11-04,0.004579308,0.0046056467,0.004579308,bull,2.6338734e-05
2011-11-07,0.0046007265,0.004528374,0.004528374,bear,7.235259e-05
2011-11-08,0.0046452554,0.0045757433,0.0045757433,bear,6.9512054e-05
2011-11-09,0.004744655,0.004826045,0.004744655,bull,8.139014e-05
2011-11-10,0.0049875067,0.0046190605,0.0046190605,bear,0.0003684461
2011-11-11,0.00513607,0.004731923,0.004731923,bear,0.00040414697
2011-11-14,0.0052184886,0.0048340317,0.0048340317,bear,0.00038445694
2011-11-15,0.005544258,0.0048353258,0.0048353258,bear,0.00070893206
2011-11-16,0.0054547396,0.0051893364,0.0051893364,bear,0.00026540319
2011-11-17,0.0056176432,0.0049400046,0.0049400046,bear,0.0006776387
2011-11-18,0.0057836045,0.0051490194,0.0051490194,bear,0.00063458504
2011-11-21,0.0056111,0.0051793237,0.0051793237,bear,0.00043177605
2011-11-22,0.0059722294,0.0054821353,0.0054821353,bear,0.00049009407
2011-11-23,0.0062004463,0.005791605,0.005791605,bear,0.0004088413
2011-11-25,0.0065301517,0.005892549,0.005892549,bear,0.0006376025
2011-11-28,0.006575511,0.006137007,0.006137007,bear,0.00043850392
2011-11-29,0.006111965,0.0064813714,0.006111965,bull,0.0003694063
2011-11-30,0.005814985,0.00639001,0.005814985,bull,0.0005750251
2011-12-01,0.005380561,0.006408847,0.005380561,bull,0.0010282858
2011-12-02,0.004883547,0.006225522,0.004883547,bull,0.0013419753
2011-12-05,0.0045348345,0.0063606794,0.0045348345,bull,0.0018258449
2011-12-06,0.00407648,0.0063046818,0.00407648,bull,0.0022282018
2011-12-07,0.0039933296,0.0062124208,0.0039933296,bull,0.0022190912
2011-12-08,0.003901725,0.0064228843,0.003901725,bull,0.0025211594
2011-12-09,0.0035611452,0.0061708665,0.0035611452,bull,0.0026097214
2011-12-12,0.0036343313,0.0060709077,0.0036343313,bull,0.0024365764
2011-12-13,0.0032711464,0.0058278223,0.0032711464,bull,0.0025566758
2011-12-14,0.0032248711,0.005814803,0.0032248711,bull,0.0025899317
2011-12-15,0.0028190129,0.0058367183,0.0028190129,bull,0.0030177054
2011-12-16,0.0030160244,0.005552247,0.0030160244,bull,0.0025362228
2011-12-19,0.0030182258,0.0052845823,0.0030182258,bull,0.0022663565
2011-12-20,0.002958714,0.004852216,0.002958714,bull,0.0018935022
2011-12-21,0.00298421,0.004736831,0.00298421,bull,0.001752621
2011-12-22,0.0026982974,0.0048211673,0.0026982974,bull,0.00212287
